existingchecking,duration,credithistory,purpose,creditamount,savings,employmentsince,installmentrate,statussex,otherdebtors,residencesince,property,age,otherinstallmentplans,housing,existingcredits,job,peopleliable,telephone,foreignworker,classification,datasetType
A11,24,A34,A41,6663,A61,A75,2,A93,A101,3,A124,34,A143,A153,2,A174,1,A192,A201,1,DatasetType.Deployment
A14,15,A34,A42,2468,A61,A75,3,A93,A101,3,A121,36,A143,A152,2,A173,0,A192,A201,1,DatasetType.Deployment
A12,15,A34,A44,2221,A61,A74,3,A93,A101,2,A122,28,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A11,21,A32,A49,4705,A61,A73,2,A94,A101,2,A123,25,A142,A152,1,A172,0,A191,A201,1,DatasetType.Deployment
A14,15,A32,A41,2216,A64,A74,2,A93,A101,2,A122,42,A143,A152,1,A173,0,A191,A202,1,DatasetType.Deployment
A14,14,A34,A43,3018,A65,A73,1,A93,A101,2,A121,31,A143,A152,1,A173,1,A191,A201,1,DatasetType.Deployment
A14,27,A32,A43,3385,A65,A75,2,A92,A101,3,A121,37,A143,A152,1,A172,0,A192,A201,1,DatasetType.Deployment
A11,22,A30,A49,4089,A61,A71,2,A93,A101,3,A122,39,A142,A152,1,A173,0,A192,A201,2,DatasetType.Deployment
A13,24,A33,A49,2455,A61,A75,3,A93,A101,3,A121,47,A143,A152,1,A174,0,A192,A201,2,DatasetType.Deployment
A14,27,A34,A43,3147,A65,A75,3,A93,A101,2,A123,40,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A12,12,A34,A48,1984,A65,A74,1,A92,A101,2,A122,34,A143,A152,1,A172,0,A191,A201,1,DatasetType.Deployment
A11,18,A30,A49,3032,A61,A74,2,A93,A101,1,A122,30,A141,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A13,27,A32,A43,3423,A61,A73,2,A93,A101,2,A121,26,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A11,21,A32,A42,2992,A61,A73,2,A91,A101,2,A121,27,A143,A151,1,A172,0,A191,A201,1,DatasetType.Deployment
A14,14,A32,A40,2192,A61,A73,2,A92,A101,3,A123,46,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A12,15,A32,A43,1835,A61,A72,3,A94,A103,1,A121,28,A141,A152,1,A172,0,A191,A201,1,DatasetType.Deployment
A11,15,A32,A46,2113,A65,A73,3,A92,A101,3,A122,26,A141,A151,1,A173,0,A192,A201,1,DatasetType.Deployment
A14,15,A32,A43,1875,A61,A73,3,A93,A101,2,A121,30,A141,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,21,A33,A49,2972,A65,A73,3,A93,A101,3,A121,31,A143,A152,1,A173,1,A192,A201,1,DatasetType.Deployment
A14,17,A32,A41,3782,A61,A73,2,A93,A101,2,A123,30,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A14,27,A30,A45,2795,A61,A73,3,A93,A101,2,A123,28,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A12,33,A32,A43,6826,A64,A74,1,A93,A102,2,A124,28,A141,A152,1,A173,0,A192,A201,2,DatasetType.Deployment
A11,15,A32,A42,5331,A61,A75,3,A93,A101,3,A124,41,A143,A153,1,A174,0,A192,A201,2,DatasetType.Deployment
A14,14,A32,A43,2247,A61,A74,3,A93,A101,2,A123,26,A143,A152,1,A173,0,A191,A201,2,DatasetType.Deployment
A11,21,A32,A42,3054,A61,A72,3,A93,A101,1,A124,26,A141,A153,1,A173,0,A191,A201,1,DatasetType.Deployment
A13,27,A32,A43,3566,A61,A73,3,A93,A101,2,A123,28,A143,A152,1,A173,0,A191,A201,2,DatasetType.Deployment
A14,14,A32,A40,2744,A63,A75,2,A93,A101,3,A124,40,A143,A153,1,A172,0,A191,A201,1,DatasetType.Deployment
A14,15,A32,A43,2567,A62,A74,2,A93,A101,1,A124,32,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A12,18,A32,A43,1952,A61,A73,3,A94,A103,2,A121,27,A143,A152,1,A172,0,A191,A201,1,DatasetType.Deployment
A14,11,A34,A43,2279,A61,A74,2,A93,A101,1,A121,36,A143,A152,2,A172,1,A191,A201,1,DatasetType.Deployment
A11,21,A32,A43,2414,A61,A71,3,A93,A101,2,A123,30,A142,A152,1,A174,1,A191,A201,2,DatasetType.Deployment
A12,12,A32,A40,8561,A65,A71,1,A93,A101,2,A122,26,A143,A152,1,A171,0,A192,A201,2,DatasetType.Deployment
A12,20,A32,A49,2870,A62,A75,3,A91,A101,2,A123,45,A141,A151,1,A172,0,A191,A201,2,DatasetType.Deployment
A14,15,A34,A43,2157,A61,A73,3,A92,A101,2,A122,32,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A11,24,A32,A43,2751,A61,A75,1,A93,A103,2,A122,34,A143,A152,1,A173,1,A191,A201,1,DatasetType.Deployment
A11,21,A32,A40,1975,A65,A75,3,A92,A101,2,A123,29,A141,A152,1,A173,0,A191,A201,2,DatasetType.Deployment
A14,12,A32,A43,2304,A61,A74,2,A93,A101,2,A122,40,A143,A152,1,A173,1,A191,A201,1,DatasetType.Deployment
A11,33,A30,A41,3757,A61,A75,2,A93,A101,3,A124,27,A143,A153,1,A173,1,A191,A201,2,DatasetType.Deployment
A14,15,A34,A49,2106,A61,A73,2,A92,A101,2,A121,28,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,15,A31,A48,3198,A63,A73,3,A92,A101,2,A121,32,A143,A152,1,A172,1,A191,A201,1,DatasetType.Deployment
A14,21,A32,A49,2141,A61,A74,3,A93,A101,1,A121,27,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A14,15,A34,A43,1880,A61,A75,3,A93,A101,3,A121,40,A143,A152,2,A173,0,A191,A201,1,DatasetType.Deployment
A14,12,A30,A40,2115,A62,A73,3,A93,A101,1,A124,32,A141,A151,1,A173,0,A191,A202,1,DatasetType.Deployment
A13,21,A32,A42,2463,A61,A73,2,A93,A101,2,A121,28,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,18,A32,A43,1743,A61,A71,2,A92,A102,3,A121,26,A143,A151,1,A173,0,A191,A201,2,DatasetType.Deployment
A11,12,A34,A40,1855,A64,A74,2,A92,A101,3,A121,34,A143,A152,1,A172,0,A192,A201,1,DatasetType.Deployment
A13,15,A32,A42,2621,A61,A73,1,A92,A101,2,A123,37,A143,A152,1,A172,0,A191,A201,1,DatasetType.Deployment
A12,24,A32,A40,2572,A61,A73,3,A92,A103,2,A124,27,A141,A152,1,A173,0,A191,A201,2,DatasetType.Deployment
A14,21,A33,A42,3538,A62,A73,2,A93,A101,2,A122,32,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A12,14,A32,A42,2514,A65,A74,2,A93,A101,1,A123,27,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A12,38,A33,A43,5115,A65,A73,1,A93,A101,1,A121,28,A143,A152,1,A172,0,A191,A201,1,DatasetType.Deployment
A14,21,A34,A43,2830,A61,A73,3,A93,A101,2,A121,32,A143,A152,1,A172,0,A191,A201,1,DatasetType.Deployment
A11,15,A31,A43,2571,A61,A73,3,A91,A101,1,A124,29,A143,A153,1,A173,0,A191,A201,2,DatasetType.Deployment
A14,17,A32,A41,3374,A62,A72,1,A92,A101,3,A123,26,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A14,15,A34,A43,2091,A62,A71,3,A92,A101,3,A121,43,A143,A152,2,A172,0,A191,A201,1,DatasetType.Deployment
A11,15,A32,A42,2334,A61,A73,2,A93,A101,2,A121,28,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A11,21,A32,A43,2308,A61,A75,3,A92,A101,3,A123,42,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A11,18,A34,A40,4094,A61,A75,2,A93,A101,3,A124,33,A143,A153,2,A174,0,A192,A201,1,DatasetType.Deployment
A14,15,A34,A46,2861,A61,A75,2,A92,A101,3,A124,43,A141,A153,2,A172,0,A191,A201,1,DatasetType.Deployment
A14,14,A34,A40,2128,A61,A75,2,A93,A101,3,A121,31,A143,A152,1,A172,1,A191,A202,1,DatasetType.Deployment
A12,17,A32,A43,1921,A61,A75,3,A93,A101,2,A123,33,A143,A152,1,A173,1,A191,A201,2,DatasetType.Deployment
A14,27,A34,A49,4577,A65,A75,3,A93,A101,3,A121,33,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,21,A32,A43,2274,A61,A72,3,A92,A101,2,A123,34,A142,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A11,16,A32,A40,5869,A61,A75,1,A91,A101,3,A122,37,A143,A152,1,A174,0,A192,A202,2,DatasetType.Deployment
A14,21,A32,A43,2016,A65,A75,3,A93,A101,2,A123,27,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,18,A32,A40,2819,A65,A74,3,A93,A101,2,A122,31,A143,A152,1,A173,0,A191,A202,1,DatasetType.Deployment
A14,15,A34,A42,2211,A63,A74,2,A92,A101,3,A123,33,A143,A151,1,A173,0,A192,A201,1,DatasetType.Deployment
A12,33,A31,A40,7409,A65,A71,3,A93,A102,3,A124,33,A143,A153,1,A174,0,A192,A201,1,DatasetType.Deployment
A12,33,A32,A43,3011,A61,A74,3,A93,A101,3,A121,29,A143,A152,1,A173,0,A191,A201,2,DatasetType.Deployment
A11,24,A32,A45,7327,A61,A72,1,A91,A101,1,A124,32,A143,A152,1,A172,0,A192,A201,2,DatasetType.Deployment
A14,14,A32,A43,2836,A61,A73,1,A93,A101,2,A121,31,A143,A152,1,A173,1,A191,A201,1,DatasetType.Deployment
A14,18,A34,A43,2694,A61,A73,2,A92,A101,2,A123,28,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A11,15,A32,A42,2143,A65,A75,2,A91,A101,3,A122,39,A143,A152,1,A172,0,A192,A201,1,DatasetType.Deployment
A14,12,A32,A42,3760,A61,A72,1,A92,A101,3,A122,31,A143,A152,1,A173,0,A191,A201,2,DatasetType.Deployment
A14,21,A32,A43,2452,A62,A73,3,A93,A101,3,A123,29,A143,A151,1,A174,0,A192,A201,1,DatasetType.Deployment
A14,17,A34,A41,3160,A64,A75,2,A93,A101,3,A124,26,A143,A151,1,A173,0,A192,A201,1,DatasetType.Deployment
A14,15,A32,A42,2294,A61,A73,3,A93,A101,2,A121,39,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A13,18,A31,A43,2231,A65,A74,3,A93,A101,3,A123,39,A141,A152,1,A172,0,A191,A201,1,DatasetType.Deployment
A14,17,A34,A42,2268,A65,A75,3,A93,A101,3,A122,46,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A12,21,A34,A40,3406,A62,A72,3,A91,A101,2,A123,33,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A11,32,A32,A40,6711,A61,A72,1,A92,A101,1,A121,32,A143,A152,1,A172,0,A192,A201,1,DatasetType.Deployment
A11,33,A32,A41,3845,A61,A74,3,A93,A101,2,A122,28,A143,A152,1,A173,1,A191,A201,1,DatasetType.Deployment
A12,33,A33,A410,5195,A62,A71,2,A93,A101,3,A124,30,A143,A153,1,A174,0,A192,A201,1,DatasetType.Deployment
A12,15,A32,A43,2061,A61,A73,3,A92,A103,3,A121,39,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A11,21,A33,A43,2028,A61,A72,3,A94,A101,3,A121,38,A142,A152,1,A173,0,A191,A201,2,DatasetType.Deployment
A14,15,A32,A49,2053,A61,A73,2,A94,A101,2,A121,28,A143,A152,1,A173,0,A192,A202,1,DatasetType.Deployment
A12,27,A32,A41,6071,A61,A72,1,A94,A101,3,A123,29,A143,A151,1,A174,0,A192,A201,2,DatasetType.Deployment
A11,21,A34,A41,4633,A61,A75,2,A92,A101,3,A124,36,A143,A153,1,A174,1,A192,A201,1,DatasetType.Deployment
A13,30,A34,A41,3849,A61,A75,3,A93,A101,3,A124,42,A143,A153,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,33,A34,A49,5217,A65,A75,3,A91,A101,2,A123,37,A141,A152,1,A174,1,A191,A201,1,DatasetType.Deployment
A12,33,A32,A42,6343,A61,A72,1,A92,A101,2,A123,28,A143,A152,1,A173,0,A192,A201,2,DatasetType.Deployment
A14,15,A32,A41,3791,A65,A72,1,A92,A101,3,A123,25,A143,A151,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,14,A32,A40,2155,A65,A75,3,A93,A102,2,A122,37,A143,A152,1,A172,0,A191,A202,1,DatasetType.Deployment
A14,18,A32,A42,2748,A61,A73,2,A93,A101,3,A121,36,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A12,20,A34,A42,2859,A64,A74,2,A93,A101,2,A123,31,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A14,12,A32,A40,1858,A61,A71,1,A92,A101,3,A121,41,A143,A152,1,A171,0,A192,A201,1,DatasetType.Deployment
A12,27,A30,A43,3370,A61,A73,3,A92,A101,1,A123,36,A143,A152,1,A173,0,A192,A201,2,DatasetType.Deployment
A13,21,A34,A40,2183,A65,A74,3,A93,A101,2,A121,33,A141,A152,1,A172,1,A191,A201,2,DatasetType.Deployment
A11,14,A34,A40,2035,A61,A74,3,A93,A102,2,A122,39,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A14,33,A34,A40,6423,A63,A73,2,A93,A101,2,A124,36,A141,A153,1,A173,0,A191,A201,2,DatasetType.Deployment
A14,12,A32,A42,2279,A64,A73,3,A91,A101,2,A121,31,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,24,A32,A41,3857,A65,A74,2,A92,A101,3,A122,27,A142,A151,1,A172,0,A191,A201,1,DatasetType.Deployment
A11,15,A32,A43,1885,A62,A72,3,A94,A101,2,A124,31,A143,A152,1,A172,0,A192,A201,2,DatasetType.Deployment
A12,13,A32,A42,2131,A61,A73,2,A92,A101,3,A121,27,A143,A152,1,A173,0,A191,A201,2,DatasetType.Deployment
A12,14,A32,A40,1667,A61,A73,3,A94,A101,3,A121,26,A143,A151,1,A172,0,A191,A201,1,DatasetType.Deployment
A12,33,A32,A410,4132,A65,A71,2,A93,A101,3,A124,35,A141,A153,1,A171,0,A192,A201,1,DatasetType.Deployment
A14,21,A32,A42,4195,A62,A73,3,A93,A101,1,A123,27,A142,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A13,21,A32,A42,3344,A61,A72,2,A92,A101,3,A123,28,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A12,15,A32,A40,1864,A61,A74,2,A94,A101,2,A123,27,A141,A152,1,A172,0,A191,A201,2,DatasetType.Deployment
A13,11,A32,A40,2255,A65,A72,1,A93,A101,2,A121,29,A143,A152,1,A172,1,A191,A202,1,DatasetType.Deployment
A11,27,A31,A42,2860,A61,A75,3,A93,A101,3,A123,30,A141,A152,1,A173,0,A191,A201,2,DatasetType.Deployment
A11,15,A32,A42,1876,A61,A73,2,A93,A103,2,A122,34,A143,A152,1,A172,1,A191,A201,1,DatasetType.Deployment
A12,21,A32,A42,3634,A65,A73,1,A92,A101,3,A122,38,A143,A152,1,A172,0,A192,A201,1,DatasetType.Deployment
A14,15,A34,A46,1872,A61,A73,3,A93,A101,2,A123,31,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A11,17,A33,A42,3293,A61,A75,1,A92,A101,3,A122,28,A143,A152,1,A172,0,A191,A201,1,DatasetType.Deployment
A12,24,A34,A40,3585,A61,A71,3,A94,A101,2,A123,29,A143,A152,1,A174,0,A191,A201,2,DatasetType.Deployment
A11,21,A32,A43,2469,A61,A72,3,A91,A101,2,A122,31,A143,A152,1,A173,0,A191,A201,2,DatasetType.Deployment
A11,21,A32,A41,2939,A61,A74,2,A93,A101,1,A124,32,A143,A153,1,A174,0,A192,A201,1,DatasetType.Deployment
A11,18,A32,A42,2818,A64,A73,3,A93,A101,2,A123,29,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,18,A34,A40,2030,A61,A73,3,A92,A101,2,A121,33,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A11,13,A34,A40,3174,A61,A74,1,A93,A101,3,A121,34,A143,A152,1,A172,0,A191,A202,1,DatasetType.Deployment
A14,15,A34,A42,4335,A65,A75,2,A93,A101,3,A122,39,A143,A151,1,A173,0,A192,A201,1,DatasetType.Deployment
A14,21,A32,A40,2270,A64,A74,3,A92,A101,2,A123,32,A143,A152,1,A173,1,A192,A201,1,DatasetType.Deployment
A13,27,A32,A43,3693,A61,A75,3,A93,A101,2,A123,30,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A12,12,A32,A43,2049,A61,A75,3,A93,A101,3,A123,29,A143,A152,1,A173,1,A191,A201,1,DatasetType.Deployment
A11,21,A34,A41,4728,A61,A71,2,A93,A101,3,A124,51,A143,A153,1,A174,0,A192,A201,1,DatasetType.Deployment
A14,18,A34,A46,2434,A62,A73,3,A92,A101,2,A121,30,A143,A152,1,A173,0,A191,A201,2,DatasetType.Deployment
A12,38,A32,A40,5111,A62,A72,3,A92,A101,2,A122,27,A143,A152,1,A174,0,A191,A201,2,DatasetType.Deployment
A14,33,A34,A41,7130,A62,A73,2,A92,A101,3,A123,27,A141,A151,1,A172,0,A191,A201,2,DatasetType.Deployment
A11,21,A30,A42,3518,A61,A75,2,A93,A101,3,A124,26,A141,A151,1,A173,1,A191,A201,2,DatasetType.Deployment
A11,12,A34,A42,3168,A61,A73,1,A91,A101,3,A121,36,A143,A151,1,A174,0,A192,A201,2,DatasetType.Deployment
A12,16,A32,A43,2548,A61,A72,2,A92,A103,3,A122,26,A143,A152,1,A172,0,A191,A201,1,DatasetType.Deployment
A11,17,A32,A44,2149,A65,A73,3,A92,A101,2,A123,27,A143,A151,1,A173,0,A191,A201,2,DatasetType.Deployment
A11,21,A32,A42,3547,A61,A73,3,A93,A101,3,A122,29,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A12,14,A32,A42,2268,A61,A73,3,A91,A101,2,A123,30,A143,A152,1,A172,0,A191,A201,1,DatasetType.Deployment
A12,21,A34,A46,4307,A61,A72,2,A92,A101,3,A124,27,A143,A153,1,A173,0,A192,A201,1,DatasetType.Deployment
A11,20,A32,A42,3271,A61,A74,1,A92,A101,3,A123,28,A143,A151,1,A172,0,A191,A201,1,DatasetType.Deployment
A12,18,A32,A43,3085,A63,A72,1,A94,A101,2,A121,27,A143,A151,1,A173,0,A191,A201,1,DatasetType.Deployment
A12,18,A32,A49,3677,A61,A75,1,A93,A102,1,A121,31,A141,A152,1,A174,0,A192,A201,1,DatasetType.Deployment
A13,14,A32,A40,3440,A61,A72,1,A93,A103,1,A122,33,A143,A152,1,A172,1,A191,A201,1,DatasetType.Deployment
A14,17,A34,A43,2238,A61,A73,3,A92,A101,2,A123,36,A143,A152,1,A172,0,A191,A201,1,DatasetType.Deployment
A12,16,A34,A43,1960,A61,A72,3,A93,A103,3,A121,26,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A12,21,A32,A43,3348,A63,A71,1,A92,A101,3,A124,26,A143,A151,1,A171,0,A191,A201,1,DatasetType.Deployment
A14,12,A33,A49,2375,A62,A73,1,A93,A101,2,A121,32,A143,A152,1,A172,0,A191,A201,1,DatasetType.Deployment
A12,14,A34,A46,2082,A64,A75,3,A93,A101,2,A124,31,A143,A153,1,A173,1,A191,A201,2,DatasetType.Deployment
A14,14,A32,A44,2130,A61,A72,1,A92,A101,3,A121,26,A143,A151,1,A173,0,A192,A201,1,DatasetType.Deployment
A12,14,A32,A42,1997,A61,A73,1,A92,A101,2,A123,29,A143,A152,1,A173,0,A191,A202,2,DatasetType.Deployment
A14,18,A34,A41,3093,A65,A71,2,A93,A101,3,A124,34,A143,A152,1,A174,0,A192,A201,1,DatasetType.Deployment
A11,15,A30,A43,4527,A61,A73,3,A93,A101,2,A122,29,A143,A151,1,A173,0,A192,A201,2,DatasetType.Deployment
A14,14,A32,A46,1885,A63,A75,3,A93,A101,3,A124,37,A143,A153,1,A173,0,A192,A201,1,DatasetType.Deployment
A12,21,A32,A40,2135,A61,A72,3,A93,A101,2,A121,26,A142,A152,1,A172,0,A191,A201,2,DatasetType.Deployment
A14,15,A34,A43,2659,A65,A75,1,A93,A102,3,A121,39,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A14,27,A33,A43,3689,A61,A73,3,A93,A101,2,A123,28,A143,A152,1,A174,0,A192,A201,2,DatasetType.Deployment
A14,15,A32,A43,1908,A61,A73,3,A94,A101,2,A121,29,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A11,24,A32,A42,2695,A61,A74,3,A92,A101,3,A121,26,A143,A151,1,A173,0,A191,A201,2,DatasetType.Deployment
A12,18,A32,A46,2132,A65,A73,3,A93,A101,3,A124,45,A143,A153,1,A173,0,A191,A201,1,DatasetType.Deployment
A13,15,A32,A43,3175,A65,A75,2,A93,A101,2,A123,33,A143,A152,1,A174,0,A191,A201,1,DatasetType.Deployment
A13,15,A33,A40,2619,A61,A73,2,A92,A101,2,A123,33,A142,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A14,12,A32,A42,2386,A61,A73,1,A94,A101,2,A122,25,A143,A151,1,A173,0,A191,A201,1,DatasetType.Deployment
A11,18,A32,A42,2728,A61,A71,3,A93,A101,1,A123,27,A143,A152,1,A171,0,A191,A201,2,DatasetType.Deployment
A14,15,A32,A49,2278,A61,A74,2,A93,A101,3,A123,33,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A14,18,A34,A41,3393,A61,A74,2,A93,A101,1,A123,28,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A11,18,A32,A42,3296,A61,A72,1,A92,A101,3,A123,26,A143,A151,1,A173,0,A191,A201,1,DatasetType.Deployment
A11,27,A32,A42,3198,A61,A75,3,A93,A101,2,A123,36,A143,A152,1,A173,1,A191,A201,2,DatasetType.Deployment
A12,18,A32,A42,2983,A61,A74,2,A92,A101,3,A121,35,A143,A151,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,27,A32,A40,3020,A65,A73,3,A93,A101,3,A121,33,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,18,A34,A43,4464,A61,A75,2,A93,A101,3,A123,31,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A14,14,A34,A42,2570,A61,A72,1,A92,A101,2,A121,26,A143,A151,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,38,A34,A40,8176,A65,A75,2,A93,A101,3,A124,46,A141,A153,1,A174,0,A192,A201,1,DatasetType.Deployment
A12,38,A31,A410,8671,A62,A75,2,A92,A101,3,A124,44,A141,A153,1,A174,0,A192,A201,2,DatasetType.Deployment
A11,33,A31,A49,5244,A61,A74,2,A92,A103,3,A123,33,A143,A151,1,A173,0,A191,A201,2,DatasetType.Deployment
A14,18,A33,A43,2654,A61,A71,2,A94,A101,2,A121,32,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,13,A33,A43,1942,A65,A75,2,A93,A101,3,A124,33,A143,A153,1,A173,0,A191,A201,1,DatasetType.Deployment
A12,27,A32,A40,8447,A61,A75,3,A93,A101,2,A124,43,A143,A153,1,A174,0,A192,A201,2,DatasetType.Deployment
A14,12,A34,A40,1708,A62,A73,3,A92,A101,3,A123,40,A143,A152,1,A172,0,A191,A201,1,DatasetType.Deployment
A11,19,A32,A42,2602,A65,A74,3,A93,A101,3,A123,34,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A12,18,A32,A41,7799,A61,A71,2,A92,A101,3,A124,34,A143,A153,1,A174,0,A192,A201,2,DatasetType.Deployment
A14,20,A32,A40,2153,A65,A74,3,A92,A101,3,A122,27,A143,A151,1,A173,0,A191,A201,1,DatasetType.Deployment
A13,15,A32,A40,2176,A61,A72,3,A93,A101,1,A121,28,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,24,A33,A49,3596,A62,A73,2,A93,A101,2,A122,28,A143,A152,1,A172,0,A191,A201,1,DatasetType.Deployment
A14,18,A34,A43,2614,A61,A73,2,A92,A101,1,A123,27,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,18,A32,A43,2077,A65,A72,3,A92,A101,2,A121,25,A143,A151,1,A173,0,A192,A201,1,DatasetType.Deployment
A12,18,A34,A42,5094,A61,A71,3,A93,A101,3,A122,35,A142,A152,1,A174,0,A192,A201,1,DatasetType.Deployment
A12,17,A34,A49,2657,A63,A73,2,A93,A101,3,A123,28,A141,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,14,A32,A49,2233,A61,A74,2,A92,A101,2,A123,28,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,18,A32,A40,2412,A61,A73,2,A94,A101,2,A122,30,A143,A152,1,A174,0,A192,A201,1,DatasetType.Deployment
A12,15,A32,A42,2008,A64,A72,1,A92,A101,3,A121,24,A143,A151,1,A172,0,A191,A201,1,DatasetType.Deployment
A11,27,A32,A40,3102,A61,A74,2,A93,A101,3,A124,34,A141,A153,1,A174,1,A192,A201,1,DatasetType.Deployment
A11,12,A34,A43,2479,A61,A74,1,A92,A101,3,A123,30,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,14,A34,A42,2695,A61,A71,2,A93,A101,2,A123,30,A143,A152,1,A174,0,A191,A201,1,DatasetType.Deployment
A12,28,A33,A46,7212,A62,A74,2,A93,A101,2,A124,31,A143,A151,1,A173,0,A192,A201,1,DatasetType.Deployment
A11,15,A32,A42,2778,A61,A71,2,A92,A101,3,A124,42,A143,A153,1,A174,0,A191,A201,1,DatasetType.Deployment
A11,27,A34,A42,2667,A61,A73,2,A94,A101,2,A122,37,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A12,15,A32,A40,2124,A61,A75,1,A91,A101,1,A121,37,A143,A151,1,A173,0,A191,A201,2,DatasetType.Deployment
A14,21,A34,A43,2266,A64,A73,3,A92,A101,1,A121,36,A143,A152,1,A172,0,A191,A201,1,DatasetType.Deployment
A14,18,A32,A43,2245,A61,A72,2,A94,A101,3,A121,34,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A12,18,A34,A49,2445,A65,A73,3,A94,A101,3,A121,29,A141,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,21,A33,A49,5709,A61,A72,2,A93,A101,2,A123,28,A141,A152,1,A173,0,A192,A201,2,DatasetType.Deployment
A14,16,A33,A40,1921,A61,A73,3,A93,A101,2,A123,28,A143,A152,1,A172,0,A191,A201,1,DatasetType.Deployment
A12,18,A33,A40,2933,A65,A75,3,A93,A101,3,A123,36,A143,A152,1,A173,1,A191,A201,1,DatasetType.Deployment
A12,21,A32,A43,2518,A61,A72,1,A94,A101,1,A122,26,A143,A152,1,A173,0,A192,A201,2,DatasetType.Deployment
A14,21,A34,A41,2594,A65,A74,3,A93,A101,3,A123,36,A143,A152,1,A173,1,A192,A201,1,DatasetType.Deployment
A11,17,A32,A43,2042,A61,A72,3,A94,A101,2,A121,28,A143,A152,1,A173,0,A191,A202,1,DatasetType.Deployment
A14,21,A32,A43,3096,A63,A75,2,A91,A101,2,A123,28,A143,A152,1,A174,0,A192,A201,1,DatasetType.Deployment
A13,15,A34,A40,1987,A63,A74,3,A94,A101,2,A121,29,A143,A152,2,A173,0,A192,A201,2,DatasetType.Deployment
A12,21,A32,A43,2483,A61,A75,3,A92,A101,3,A123,25,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A14,25,A34,A41,5036,A61,A74,2,A93,A101,2,A123,32,A143,A152,1,A174,0,A192,A201,1,DatasetType.Deployment
